month,sentiment,nasdaq_avg
2017-12-01,5.187628865979382,6889.740454101562
2018-01-01,5.086111111111111,7279.498046875
2018-02-01,4.7015625,7161.7726408305925
2018-03-01,4.699353448275862,7311.506696428572
2018-04-01,4.808583690987125,7084.142345610119
2018-05-01,4.470684706847068,7339.327281605114
2018-06-01,4.559543230016313,7645.138532366072
2018-07-01,4.674157303370786,7756.863862537202
2018-08-01,4.58033106134372,7892.233462126359
2018-09-01,4.697652582159624,7983.307411595395
2018-10-01,4.836530442035029,7527.083899456522
2018-11-01,4.600923206042803,7236.081449962798
2018-12-01,4.483030004918839,6814.2916067023025
2019-01-01,4.622044088176353,6979.655715215774
2019-02-01,4.56778460085026,7430.077354029605
2019-03-01,4.6263048016701465,7629.366652715774
2019-04-01,4.762195121951219,7994.9209216889885
2019-05-01,4.642887473460722,7804.820867365057
2019-06-01,4.776543758329631,7825.459008789063
2019-07-01,4.788691902252037,8205.598677201704
2019-08-01,4.61278863232682,7910.933238636364
2019-09-01,4.525041736227045,8087.699975585938
2019-10-01,4.733852140077821,8079.27829908288
2019-11-01,4.819306930693069,8517.57744140625
2019-12-01,4.787,8778.59193638393
2020-01-01,4.712262242007284,9233.35997953869
2020-02-01,4.515876468029578,9418.85002055921
2020-03-01,4.257686676427525,7772.205832741477
2020-04-01,4.183448275862069,8292.407180059523
2020-05-01,4.447274174293673,9105.65546875
2020-06-01,4.393700787401575,9839.971324573864
2020-07-01,4.594530321046373,10499.86270419034
2025-04-01,5.8,16678.45972842262
2025-07-01,6.2,20398.35888671875
