month,sentiment
2017-12,5.187628865979382
2018-01,5.086111111111111
2018-02,4.7015625
2018-03,4.699353448275862
2018-04,4.808583690987125
2018-05,4.470684706847068
2018-06,4.559543230016313
2018-07,4.674157303370786
2018-08,4.58033106134372
2018-09,4.697652582159624
2018-10,4.836530442035029
2018-11,4.600923206042803
2018-12,4.483030004918839
2019-01,4.622044088176353
2019-02,4.56778460085026
2019-03,4.6263048016701465
2019-04,4.762195121951219
2019-05,4.642887473460722
2019-06,4.776543758329631
2019-07,4.788691902252037
2019-08,4.61278863232682
2019-09,4.525041736227045
2019-10,4.733852140077821
2019-11,4.819306930693069
2019-12,4.787
2020-01,4.712262242007284
2020-02,4.515876468029578
2020-03,4.257686676427525
2020-04,4.183448275862069
2020-05,4.447274174293673
2020-06,4.393700787401575
2020-07,4.594530321046373
2025-04,5.8
2025-07,6.2
